Column,DataType,MissingValues,MissingPercentage
country,str,0,0.0
location_name,str,0,0.0
latitude,float64,0,0.0
longitude,float64,0,0.0
timezone,str,0,0.0
last_updated_epoch,int64,0,0.0
last_updated,datetime64[us],0,0.0
temperature_celsius,float64,0,0.0
temperature_fahrenheit,float64,0,0.0
condition_text,str,0,0.0
wind_mph,float64,0,0.0
wind_kph,float64,0,0.0
wind_degree,int64,0,0.0
wind_direction,str,0,0.0
pressure_mb,float64,0,0.0
pressure_in,float64,0,0.0
precip_mm,float64,0,0.0
precip_in,float64,0,0.0
humidity,int64,0,0.0
cloud,int64,0,0.0
feels_like_celsius,float64,0,0.0
feels_like_fahrenheit,float64,0,0.0
visibility_km,float64,0,0.0
visibility_miles,float64,0,0.0
uv_index,float64,0,0.0
gust_mph,float64,0,0.0
gust_kph,float64,0,0.0
air_quality_Carbon_Monoxide,float64,0,0.0
air_quality_Ozone,float64,0,0.0
air_quality_Nitrogen_dioxide,float64,0,0.0
air_quality_Sulphur_dioxide,float64,0,0.0
air_quality_PM2.5,float64,0,0.0
air_quality_PM10,float64,0,0.0
air_quality_us-epa-index,int64,0,0.0
air_quality_gb-defra-index,int64,0,0.0
sunrise,str,0,0.0
sunset,str,0,0.0
moonrise,str,0,0.0
moonset,str,0,0.0
moon_phase,str,0,0.0
moon_illumination,int64,0,0.0
hour,int32,0,0.0
day_of_week,int32,0,0.0
month,int32,0,0.0
year,int32,0,0.0
is_weekend,int64,0,0.0
temp_change_3h,float64,0,0.0
temp_humidity_index,float64,0,0.0
temperature_celsius_scaled,float64,0,0.0
humidity_scaled,float64,0,0.0
wind_kph_scaled,float64,0,0.0
pressure_mb_scaled,float64,0,0.0
precip_mm_scaled,float64,0,0.0
